ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
34a762685cb731aeeefa18ffb3584f83	Fungi	 Basidiomycota	 Agaricomycetes	 Atheliales	 Pilodermataceae	 Piloderma	 Piloderma_sp
80f9ea0d3d1d28f4c736e76ef816d266	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Chaetothyriales_fam_Incertae_sedis	 Chaetothyriales_gen_Incertae_sedis	 Chaetothyriales_sp
6440b1657f84dc71fd5673845cbc5dae	Fungi						
21f235f85f394aa226ef36bc46969313	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Didymellaceae		
7989ffe0796d3cc23d8c197f428f0d6a	Fungi						
b19822e63c272de6cc68c3cc177228a4	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella_sp
e705f55e56a7d64f7ece6eeb93465889	Fungi	 Basidiomycota	 Microbotryomycetes	 Microbotryomycetes_ord_Incertae_sedis	 Chrysozymaceae	 Hamamotoa	 Hamamotoa_cerberi
439c8cbc43acae7d2cf0f0ba88c69eeb	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
2712c423a767f74b1ec56b78eac3a32b	Fungi	 Ascomycota	 Lecanoromycetes	 Peltigerales	 Pannariaceae	 Pectenia	 Pectenia_sp
2d2868013af6b79bb8d1ba2008c0a977	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Hygrophoraceae	 Hygrophorus	
89264e8d6c03a8cfb84c6b2e4b25147d	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Ploettnerulaceae	 Cadophora	 Cadophora_sp
6a26769a0f19327c2cf3bd819c6db471	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
316194c38c78960fe883f2bb38e359d9	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella_sp
5b41a4b1687bf1a287260f21e40da428	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
5508fae59366bfe0f5ec39bcfdf84af2	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Mycenaceae	 Mycena	 Mycena_sp
9baf27d641e1cc9be0eb941726cf201a	Fungi	 Ascomycota	 Leotiomycetes	 Leotiomycetes_ord_Incertae_sedis	 Leotiomycetes_fam_Incertae_sedis	 Leotiomycetes_gen_Incertae_sedis	 Leotiomycetes_sp
260a3204275fd50cdb537977c5635d7c	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora_sp
31b061a7d68035ce2736d323090052d6	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Gryganskiella	 Gryganskiella_cystojenkinii
2e3bcf1dfb7c9995cf46a672ccac4a2d	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
dce99f6831e863fb7bb5957133161802	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Pseudohelotium	 Pseudohelotium_pineti
248bf03f5c1d95b503bcf79dff9e24bb	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
9ffe28c96747b307fe3f033906b36fac	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Mrakiaceae	 Mrakia	
144d7bfecf40a876285aa5347c01e80f	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leptodontidiaceae	 Leptodontidium	 Leptodontidium_boreale
14cb60929ff00a52b71f0117369487b1	Fungi	 Ascomycota	 Leotiomycetes	 Rhytismatales	 Rhytismataceae		
3a1b84ea1f4833caca5f30c92a0671e6	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 Serendipitaceae	 Serendipita	 Serendipita_sp
e8927ee16505f4c0ad4310a7ed98c57d	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Cortinariaceae	 Cortinarius	
3214a339ed37c23b80e54d584348395d	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Mycosymbioces	 Mycosymbioces_mycenophila
aecedb9af16eb3a11df2dd7b174a9a02	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Capnodiales_fam_Incertae_sedis	 Pseudopenidiella	 Pseudopenidiella_sp
f4668bed99978eb3e92e5adbec813808	Fungi	 Basidiomycota	 Agaricomycetes	 Russulales	 Russulaceae	 Lactarius	 Lactarius_pseudodeceptivus
4d411448030e9dab4adb2c22e79ead40	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiales_fam_Incertae_sedis	 Helotiales_gen_Incertae_sedis	 Helotiales_sp
3aea9689fc96589a198fdecfbeace4a0	Fungi	 Ascomycota	 Dothideomycetes	 Myriangiales	 Myriangiaceae	 Myriangium	
1b44ebc9660129303119d1943947530c	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Myxotrichaceae	 Oidiodendron	 Oidiodendron_sp
c9ab223217c5ebd7a44243526ba75da8	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
139c642308b5f1a57a245a47e68232b0	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
8ec8a620e15765a6177129150d73f2d2	Fungi	 Ascomycota	 Dothideomycetes	 Venturiales	 Venturiaceae	 Venturia	 Venturia_sp
ea49495e50892484d26be6c9a46b4802	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
